date,USA_D_GFC_2008,USA_D_COVID_2020,USA_D_ENERGY_2022,USA_P_GFC,USA_P_COVID,USA_M2_x_D_GFC_2008,USA_POLICY_RATE_x_D_COVID_2020,USA_POLICY_RATE_x_D_ENERGY_2022
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
